Problem,NumSols,Time(ms)
exp-1-500-5-5_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,11611.826172
exp-1-500-5-5_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,14022.109375
exp-1-500-5-5_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,14638.049805
exp-1-500-5-5_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,25630.900391
exp-1-500-5-5_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,168384.937500
sp150x300d_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,232073.000000
sp150x300d_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,481251.406250
sp150x300d_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,482882.312500
sp150x300d_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,484528.031250
sp150x300d_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,530588.812500
bppc8-02_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,221.432068
bppc8-02_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,639.308289
bppc8-02_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,1025.376709
bppc8-02_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,1786.108398
bppc8-02_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,3144.886963
neos-1425699_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,183.988663
neos-1425699_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,375.638977
neos-1425699_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,455.647858
neos-1425699_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,629.368958
neos-1425699_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,1643.858765
23588_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,7691.283203
23588_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,16736.726562
23588_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,21225.236328
23588_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,24046.755859
23588_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,52404.187500
nexp-50-20-1-1_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,582.928528
nexp-50-20-1-1_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,1899.337158
nexp-50-20-1-1_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,3461.121826
nexp-50-20-1-1_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,5711.419922
nexp-50-20-1-1_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,31879.488281
nexp-50-20-4-2_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,10080.229492
nexp-50-20-4-2_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,16406.509766
nexp-50-20-4-2_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,21400.099609
nexp-50-20-4-2_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,30559.724609
nexp-50-20-4-2_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,160670.812500
neos17_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,3162.104004
neos17_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,7488.963379
neos17_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,10040.122070
neos17_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,15010.071289
neos17_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,41772.765625
mtest4ma_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,30555.718750
mtest4ma_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,31207.478516
mtest4ma_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,31874.099609
mtest4ma_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,33578.902344
mtest4ma_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,35408.550781
nh97_tension_SCIP_bfs_percNO_0.040000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,9576.149414
nh97_tension_SCIP_bfs_percNO_0.040000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,12523.944336
nh97_tension_SCIP_bfs_percNO_0.040000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,16040.054688
nh97_tension_SCIP_bfs_percNO_0.040000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,22586.222656
nh97_tension_SCIP_bfs_percNO_0.040000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,69148.765625
