Problem,NumSols,Time(ms)
exp-1-500-5-5_SCIP_bfs_percNO_0.010000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,4677.284180
exp-1-500-5-5_SCIP_bfs_percNO_0.010000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,8394.056641
exp-1-500-5-5_SCIP_bfs_percNO_0.010000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,12933.321289
exp-1-500-5-5_SCIP_bfs_percNO_0.010000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,26104.884766
exp-1-500-5-5_SCIP_bfs_percNO_0.010000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,153578.406250
sp150x300d_SCIP_bfs_percNO_0.010000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,3126.920654
sp150x300d_SCIP_bfs_percNO_0.010000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,4212.566406
sp150x300d_SCIP_bfs_percNO_0.010000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,5431.509277
sp150x300d_SCIP_bfs_percNO_0.010000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,7837.011719
sp150x300d_SCIP_bfs_percNO_0.010000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,34833.066406
bppc8-02_SCIP_bfs_percNO_0.010000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,268.799591
bppc8-02_SCIP_bfs_percNO_0.010000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,775.155579
bppc8-02_SCIP_bfs_percNO_0.010000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,1276.778809
bppc8-02_SCIP_bfs_percNO_0.010000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,1865.347778
bppc8-02_SCIP_bfs_percNO_0.010000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,4242.157715
neos-1425699_SCIP_bfs_percNO_0.010000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,118.831238
neos-1425699_SCIP_bfs_percNO_0.010000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,139.643173
neos-1425699_SCIP_bfs_percNO_0.010000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,408.048309
neos-1425699_SCIP_bfs_percNO_0.010000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,726.682739
