Problem,NumSols,Time(ms)
exp-1-500-5-5_SCIP_bfs_percNO_0.020000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,6092.387207
exp-1-500-5-5_SCIP_bfs_percNO_0.020000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,8566.254883
exp-1-500-5-5_SCIP_bfs_percNO_0.020000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,14814.491211
exp-1-500-5-5_SCIP_bfs_percNO_0.020000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,23964.546875
exp-1-500-5-5_SCIP_bfs_percNO_0.020000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,235358.359375
sp150x300d_SCIP_bfs_percNO_0.020000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,100266.968750
sp150x300d_SCIP_bfs_percNO_0.020000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,164262.765625
sp150x300d_SCIP_bfs_percNO_0.020000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,163097.062500
sp150x300d_SCIP_bfs_percNO_0.020000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,166112.718750
sp150x300d_SCIP_bfs_percNO_0.020000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,185028.296875
bppc8-02_SCIP_bfs_percNO_0.020000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,319.766541
bppc8-02_SCIP_bfs_percNO_0.020000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,730.615723
bppc8-02_SCIP_bfs_percNO_0.020000_reqNS_100_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,100,866.344727
bppc8-02_SCIP_bfs_percNO_0.020000_reqNS_200_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,200,1256.325195
bppc8-02_SCIP_bfs_percNO_0.020000_reqNS_1000_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,1000,3483.836914
neos-1425699_SCIP_bfs_percNO_0.020000_reqNS_10_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,10,139.496902
neos-1425699_SCIP_bfs_percNO_0.020000_reqNS_50_alpha_0.000000_beta_0.000000_solCut_0.000000_depthCut_0.000000.csv,50,410.590820
